,Borough,crime_total_2013,crime_total_2014,crime_total_2015,crime_total_changerate_1314,crime_total_changerate_1415,Code,house_price_2013,house_price_2014,house_price_2015,house_price_2016,house_price_changerate_1314,house_price_changerate_1415,house_price_changerate_1516,crime_Burglary_2013,crime_CriminalDamage_2013,crime_Drugs_2013,crime_FraudorForgery_2013,crime_OtherNotifiableOffences_2013,crime_Robbery_2013,crime_SexualOffences_2013,crime_TheftandHandling_2013,crime_ViolenceAgainstPerson_2013
0,Barking and Dagenham,16535,16228,17180,-0.444139424,0.2568276,E09000002,187943,215810,244126,289176,0.148273679,0.131208007,0.184535854,2243,1644,1278,90,292,539,289,6204,3956
1,Barnet,23214,23035,24623,-0.593836695,1.002907116,E09000003,479968,534786,566874,584202,0.114211781,0.060001571,0.030567639,4274,1876,1047,232,305,800,350,9995,4335
2,Bexley,11914,12204,12346,-0.706677728,0.281841978,E09000004,236952,267268,295262,340626,0.127941524,0.104741308,0.153639818,1793,1441,855,101,226,277,207,4265,2749
3,Brent,24684,25211,25628,-0.618199407,0.052455362,E09000005,429877,468859,506322,517497,0.090681753,0.079902487,0.022070935,3092,2016,3512,152,441,1175,359,7836,6101
4,Bromley,19488,20185,21100,-0.478767719,0.379417004,E09000006,354045,397487,441675,478142,0.122701916,0.111168416,0.082565235,3136,2010,1069,78,280,578,297,7786,4254
5,Camden,29303,27939,30345,-0.235871441,0.259976502,E09000007,836170,966927,1040035,1063248,0.156376096,0.075608603,0.022319441,3100,1567,2195,165,428,897,337,16017,4597
6,Croydon,28451,28347,29332,-0.679225634,0.363906757,E09000008,271891,300572,340768,372054,0.105487125,0.133731685,0.091810264,3978,2839,2146,123,412,1731,517,10423,6282
7,Ealing,26733,25712,27012,-1.006581486,0.323378565,E09000009,427847,501526,524967,553669,0.172208757,0.046739351,0.054673913,3584,2261,1928,162,435,937,463,10599,6364
8,Enfield,22355,22412,22842,-0.153260921,0.034543396,E09000010,309261,350007,389903,450294,0.131752791,0.113986292,0.154887241,3468,1994,1635,128,347,950,340,8926,4567
9,Greenwich,19742,20624,21614,-0.186323653,0.331749025,E09000011,330113,369977,401116,445432,0.120758649,0.084164691,0.110481756,2391,2043,1312,127,401,475,337,7503,5153
10,Hackney,26289,25200,27290,-0.393849428,0.623122999,E09000012,430254,501633,564761,602843,0.165899678,0.12584499,0.067430294,2796,1675,1885,74,377,1054,412,12215,5801
11,Hammersmith and Fulham,19343,19752,20479,-0.431311272,-0.078484194,E09000013,766921,886074,940897,940225,0.155365416,0.061871808,-0.000714212,1531,1212,2023,89,389,581,270,9205,4043
12,Haringey,21475,23549,25483,0.822536073,0.899712879,E09000014,481674,542902,569499,606629,0.12711502,0.048990426,0.065197656,2748,1868,1239,112,281,926,321,9464,4516
13,Harrow,12448,12299,12989,-0.968805442,-0.469265725,E09000015,369829,427077,461919,504811,0.154795865,0.081582478,0.092856107,2106,1147,909,110,237,514,223,4137,3065
14,Havering,15482,15244,16383,0.333862871,0.213960737,E09000016,257481,284185,317807,358601,0.103712507,0.118310256,0.128360923,2480,1502,1028,50,253,291,203,6373,3302
15,Hillingdon,19110,21633,21981,0.011243648,0.225091228,E09000017,306450,348123,393842,439746,0.135986295,0.131330018,0.116554354,2861,2125,995,68,359,558,291,7017,4836
16,Hounslow,20016,20362,21797,-0.14753135,-0.19622058,E09000018,397806,427360,462024,476268,0.074292494,0.081111943,0.030829567,2480,1998,1521,74,300,485,327,7770,5061
17,Islington,24686,25694,28163,0.154271046,1.050104997,E09000019,575438,669869,743764,754514,0.164102823,0.110312613,0.014453509,2422,1636,1439,88,391,964,307,12484,4955
18,Kensington and Chelsea,18409,18460,19717,-0.217408943,0.476544219,E09000020,1666682,1946177,1914363,1953392,0.167695457,-0.01634692,0.02038746,1763,834,1132,126,220,545,222,10996,2571
19,Kingston upon Thames,9465,9582,10088,-0.241297105,3.023054164,E09000021,414419,475081,502091,547214,0.146378424,0.056853463,0.089870163,1194,951,605,38,106,159,149,4197,2066
20,Lambeth,33063,33092,34529,0.175897524,0.34216408,E09000022,437456,538040,554122,588579,0.22992941,0.029889971,0.062183057,3914,2439,1953,159,436,2465,497,14250,6950
21,Lewisham,22879,21838,24285,-1.055220429,0.836371527,E09000023,305825,360998,403589,434769,0.180407096,0.117981263,0.077256813,3303,2211,1740,104,357,1287,443,7407,6027
22,Merton,12000,11917,12660,-0.981058425,0.62068141,E09000024,473134,537708,571363,587371,0.13648142,0.062589733,0.028017215,1791,1217,641,63,159,434,218,4995,2482
23,Newham,28599,28826,30275,-0.350635528,0.941942019,E09000025,233074,269497,319348,370476,0.156272257,0.18497794,0.160101206,2919,2090,1640,208,428,2149,512,12465,6188
24,Redbridge,20462,20315,19558,-0.242887743,0.118533497,E09000026,315401,338667,387917,423130,0.073766412,0.145423085,0.090774573,2990,1506,1832,162,309,905,323,8144,4291
25,Richmond upon Thames,10756,10717,10733,-0.368888621,0.685465137,E09000027,644778,730459,754191,775357,0.132884497,0.032489161,0.028064509,1924,1154,679,58,149,205,128,4542,1917
26,Southwark,32266,29870,31210,-0.89902017,0.047385354,E09000028,441747,518144,583065,643858,0.172942884,0.125295285,0.104264533,3464,2393,2756,140,480,2335,472,13906,6320
27,Sutton,10362,10787,10877,-0.492316116,0.416208683,E09000029,286681,322434,358826,387585,0.124713532,0.112866509,0.080147481,1428,1239,488,33,141,250,223,4168,2392
28,Tower Hamlets,27529,26723,28593,-0.787193342,0.509458472,E09000030,383842,445319,483423,524508,0.160162254,0.085565628,0.084987682,2766,2097,3167,130,509,1303,397,10721,6439
29,Waltham Forest,22640,20891,21643,-1.041065473,0.519316164,E09000031,281255,334326,384365,431878,0.188693534,0.149671279,0.123614273,2709,1811,1722,122,329,987,363,9363,5234
30,Wandsworth,23071,21999,23233,-1.026479302,0.485711264,E09000032,584510,681731,687589,775484,0.166329062,0.008592832,0.127830724,3099,1812,1106,122,343,984,378,11158,4069
31,Westminster,55722,49225,49024,-0.875668344,-0.481958798,E09000033,1299376,1464109,1361091,1579839,0.126778546,-0.070362248,0.160715191,3919,2106,4446,257,866,2259,567,34278,7024
